[2025-06-05 20:27:51] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-shrink.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-bottom.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-horizontal.min.css
[2025-06-05 20:27:56] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/landing/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-skew.css
